compile_warmup_wall_ms,warmup_wall_ms,measured_kernel_wall_ms,measured_kernel_mean_ms,active_steps,n_embd,n_q_head,n_kv_head,block_size,num_tensor_parallel_workers,max_model_len,batch_size,prefill_chunk_size,kv_cache_size,is_prefill,attention_backend
0.0,8.622652967460454,14.744854997843504,2.948970999568701,5,2560,32,32,16,1,4096,1,128,256,True,triton
0.0,8.91884503653273,18.711456039454788,3.7422912078909576,5,2560,32,32,16,1,4096,1,128,384,True,triton
0.0,11.90886297263205,23.707918997388333,4.741583799477667,5,2560,32,32,16,1,4096,1,128,512,True,triton
0.0,13.677754031959921,29.50897900154814,5.901795800309628,5,2560,32,32,16,1,4096,1,128,640,True,triton
0.0,15.20984194939956,32.52285596681759,6.5045711933635175,5,2560,32,32,16,1,4096,1,128,768,True,triton
0.0,16.97416399838403,36.82437801035121,7.364875602070242,5,2560,32,32,16,1,4096,1,128,896,True,triton
0.0,18.53273098822683,40.393440052866936,8.078688010573387,5,2560,32,32,16,1,4096,1,128,1024,True,triton
0.0,19.693358975928277,45.33405398251489,9.066810796502978,5,2560,32,32,16,1,4096,1,128,1152,True,triton
0.0,23.185632016975433,51.18022399256006,10.236044798512012,5,2560,32,32,16,1,4096,1,128,1280,True,triton
0.0,27.064796013291925,60.21614500787109,12.043229001574218,5,2560,32,32,16,1,4096,1,128,1408,True,triton
0.0,25.441190984565765,59.47617598576471,11.895235197152942,5,2560,32,32,16,1,4096,1,128,1536,True,triton
0.0,31.47676499793306,63.83928598370403,12.767857196740806,5,2560,32,32,16,1,4096,1,128,1664,True,triton
0.0,39.126774994656444,71.32027996703982,14.264055993407965,5,2560,32,32,16,1,4096,1,128,1792,True,triton
0.0,32.53488597692922,72.29146303143352,14.458292606286705,5,2560,32,32,16,1,4096,1,128,1920,True,triton
0.0,2.835351973772049,5.165727983694524,1.0331455967389047,5,2560,32,32,16,1,4096,1,128,0,True,triton
0.0,5.175697966478765,9.65377496322617,1.9307549926452339,5,2560,32,32,16,1,4096,1,128,128,True,triton
0.0,9.010571986436844,14.232588990125805,2.846517798025161,5,2560,32,32,16,1,4096,1,128,256,True,triton
0.0,8.556335000321269,18.96255899919197,3.792511799838394,5,2560,32,32,16,1,4096,1,128,384,True,triton
0.0,12.725460983347148,24.39783897716552,4.879567795433104,5,2560,32,32,16,1,4096,1,128,512,True,triton
0.0,12.961184023879468,30.467413016594946,6.093482603318989,5,2560,32,32,16,1,4096,1,128,640,True,triton
0.0,13.976585993077606,31.87456401064992,6.374912802129984,5,2560,32,32,16,1,4096,1,128,768,True,triton
0.0,21.87349903397262,36.16113599855453,7.2322271997109056,5,2560,32,32,16,1,4096,1,128,896,True,triton
0.0,18.16279097693041,41.686204029247165,8.337240805849433,5,2560,32,32,16,1,4096,1,128,1024,True,triton
0.0,19.97593097621575,46.285567979793996,9.2571135959588,5,2560,32,32,16,1,4096,1,128,1152,True,triton
0.0,22.211809002328664,50.74804596370086,10.149609192740172,5,2560,32,32,16,1,4096,1,128,1280,True,triton
0.0,25.98944603232667,61.18874897947535,12.23774979589507,5,2560,32,32,16,1,4096,1,128,1408,True,triton
0.0,25.752493005711585,61.26097700325772,12.252195400651544,5,2560,32,32,16,1,4096,1,128,1536,True,triton
0.0,27.137624041642994,70.66799799213186,14.133599598426372,5,2560,32,32,16,1,4096,1,128,1664,True,triton
0.0,33.140269049908966,70.03612600965425,14.00722520193085,5,2560,32,32,16,1,4096,1,128,1792,True,triton
0.0,32.532355980947614,75.85054496303201,15.170108992606401,5,2560,32,32,16,1,4096,1,128,1920,True,triton
0.0,3.4317249665036798,6.489621999207884,1.2979243998415768,5,2560,32,32,16,1,4096,1,160,0,True,triton
0.0,6.134631985332817,11.774635990150273,2.3549271980300546,5,2560,32,32,16,1,4096,1,160,160,True,triton
0.0,10.159081022720784,19.4076860207133,3.88153720414266,5,2560,32,32,16,1,4096,1,160,320,True,triton
0.0,11.562942003365606,23.37248797994107,4.674497595988214,5,2560,32,32,16,1,4096,1,160,480,True,triton
0.0,12.793718022294343,29.841170005965978,5.968234001193196,5,2560,32,32,16,1,4096,1,160,640,True,triton
0.0,15.403576020617038,40.47378804534674,8.094757609069347,5,2560,32,32,16,1,4096,1,160,800,True,triton
0.0,19.374397990759462,45.46877002576366,9.093754005152732,5,2560,32,32,16,1,4096,1,160,960,True,triton
0.0,22.7053560083732,51.79257597774267,10.358515195548534,5,2560,32,32,16,1,4096,1,160,1120,True,triton
0.0,23.31689902348444,52.22737498115748,10.445474996231496,5,2560,32,32,16,1,4096,1,160,1280,True,triton
0.0,25.07642103591934,60.65396300982684,12.130792601965368,5,2560,32,32,16,1,4096,1,160,1440,True,triton
0.0,32.51958597684279,67.26332200923935,13.45266440184787,5,2560,32,32,16,1,4096,1,160,1600,True,triton
0.0,30.10476304916665,74.75190499098971,14.950380998197943,5,2560,32,32,16,1,4096,1,160,1760,True,triton
0.0,4.043988999910653,7.362306991126388,1.4724613982252777,5,2560,32,32,16,1,4096,1,192,0,True,triton
0.0,6.8585219560191035,14.077513013035059,2.815502602607012,5,2560,32,32,16,1,4096,1,192,192,True,triton
0.0,11.276539997197688,21.70512400334701,4.341024800669402,5,2560,32,32,16,1,4096,1,192,384,True,triton
0.0,13.584617001470178,28.62883300986141,5.725766601972282,5,2560,32,32,16,1,4096,1,192,576,True,triton
0.0,15.362348000053316,37.501240032725036,7.500248006545007,5,2560,32,32,16,1,4096,1,192,768,True,triton
0.0,18.664517032448202,42.60552901541814,8.521105803083628,5,2560,32,32,16,1,4096,1,192,960,True,triton
0.0,23.38704699650407,48.841527954209596,9.76830559084192,5,2560,32,32,16,1,4096,1,192,1152,True,triton
0.0,24.480357998982072,56.23435397865251,11.246870795730501,5,2560,32,32,16,1,4096,1,192,1344,True,triton
0.0,28.518476989120245,63.652590033598244,12.730518006719649,5,2560,32,32,16,1,4096,1,192,1536,True,triton
0.0,35.33483896171674,70.03371499013156,14.006742998026311,5,2560,32,32,16,1,4096,1,192,1728,True,triton
0.0,5.902507982682437,9.63659503031522,1.927319006063044,5,2560,32,32,16,1,4096,1,224,0,True,triton
0.0,7.800504972692579,17.60118594393134,3.5202371887862682,5,2560,32,32,16,1,4096,1,224,224,True,triton
0.0,15.277880011126399,27.245520963333547,5.449104192666709,5,2560,32,32,16,1,4096,1,224,448,True,triton
0.0,14.755114971194416,32.56197500741109,6.5123950014822185,5,2560,32,32,16,1,4096,1,224,672,True,triton
